CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Eligibility
9,605,1,4 Years,"1,80,000 - 2,08,000/-"," $2,800.00 ",Minimum 50% marks in 10+2/PCM/ PCB
9,606,1,4 Years,"1,80,000 - 2,08,000/-"," $2,800.00 ",Minimum 50% marks in 10+2/PCM/ PCB
9,607,1,3 Years,"144,000 - 1,88,000/-"," $2,800.00 ",Passed Diploma Examination from an AICTE approved Institution with atleast 45% marks in appropriate marks and passsed 12th standard with Mathematics as a subject
9,608,1,5 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/PCM/ PCB
9,609,1,5 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 55% marks in B. Tech/ B.E. EE/EEE/ME
9,610,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech(EE/EEE/ECE/IC)
9,611,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech(CSE/IT) 
9,612,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech(ME/IPE).
9,613,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech(Civil Engineering/EVS).
9,614,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech(Agri/Biotech/M.E/Petroleum/Petrochemical/Civil/Env.Engg/Chem.Engg) or M.Sc(Agricultute/Biotech/Env.Sc/Env.Tech.)
9,615,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech(Mechanical/ EE/Automobile/Industrial Production Engg.)
9,616,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech CS/IT/ECE/ MCA /M.Sc.CS
